,Mean Squared Error,Mean Pinball Loss,Pinball Loss Penalize Under,Pinball Loss Penalize Over,Pinball Loss At Alpha,Mean Absolute Error,R2 Square,D2 Pinball,AIC,BIC,Under Allocations,Over Allocations,Correct Allocations,Miss Rate,Cross Validation
Q0.10_pb0.00_e,1.904808407872681,0.46784713667709243,0.9319569997978686,0.0037372735563161235,0.09655924618047138,0.9356942733541849,0.2840677938788838,0.2703196439599914,2753.102578200998,2779.5506308082536,415,0,1050,0.2832764505119454,0.008063658386763635
Q0.10_pb1.00_e,0.06136124321422824,0.07792809377024584,0.15578765288925764,6.853465123404265e-05,0.015640446475036405,0.1558561875404917,0.9769370556938275,0.8784590205859513,757833.7587388713,757860.2067914786,90,0,1375,0.06143344709897611,0.20596931274930977
Q0.10_pb0.10_e,0.13507799087023759,0.15104743323918762,0.2921435990640165,0.009951267414358743,0.038170500579324515,0.30209486647837525,0.9492302303987934,0.7644180412266346,-393.5938311778442,-367.1457785705884,154,3,1308,0.10716723549488055,0.04619523609265499
Q0.25_pb0.00_e,0.39765408440373023,0.19062048144670748,0.3603159961444902,0.02092496674892475,0.10577272409781613,0.38124096289341497,0.8505396318372067,0.702697719262622,120.84954848509561,147.29760109235144,273,3,1189,0.18839590443686008,0.03462547088183989
Q0.25_pb1.00_e,0.031753531676352684,0.053791628570371335,0.10105147108994819,0.006531786050794451,0.030161707310582882,0.10758325714074267,0.9880652689838886,0.9161035910875068,16009.86627805562,16036.314330662877,58,2,1405,0.040955631399317405,0.14819557228333546
Q0.25_pb0.25_e,0.062194845731995685,0.09534904152276294,0.16415701562590873,0.02654106741961714,0.06094505447119004,0.19069808304552588,0.9766237418260879,0.8512883437514264,-1877.290319601913,-1850.8422669946572,98,7,1360,0.07167235494880546,0.07961269724863587
Q0.50_pb0.00_e,0.045123104861470295,0.07949462216723041,0.07585391959169074,0.08313532474277008,0.07949462216723041,0.15898924433446082,0.983040244952202,0.876015775968538,-2184.057045074859,-2157.6089924676035,40,34,1391,0.050511945392491465,0.09593496080565529
Q0.50_pb1.00_e,0.03651787279044862,0.06753808591284174,0.06284707935394421,0.0722290924717393,0.06753808591284174,0.1350761718256835,0.9862745664489614,0.8946638534005673,-2751.0615532896895,-2724.613500682434,29,35,1401,0.04368600682593857,0.09055256468297478
Q0.50_pb0.50_e,0.042097949939722296,0.0761767620082802,0.07156170641097984,0.08079181760558059,0.0761767620082802,0.1523535240165604,0.984177265257254,0.8811904947864597,-2292.5200947929447,-2266.072042185689,33,39,1393,0.049146757679180884,0.09363549583683513
Q0.75_pb0.00_e,0.024524574795529844,0.03940344582517147,0.004697016568771886,0.07410987508157105,0.022050231196971675,0.07880689165034294,0.9907823102496933,0.938544199323039,-4128.211082979578,-4101.763030372323,2,40,1423,0.028668941979522185,0.14628492668947637
Q0.75_pb1.00_e,0.17357785417365915,0.14219860590064715,0.016938089457860635,0.2674591223434336,0.07956834767925389,0.2843972118012943,0.9347598553436123,0.7782191633811542,-358.9363531284587,-332.48830052120286,6,93,1366,0.06757679180887372,0.03468687056590508
Q0.75_pb0.75_e,0.06166802221576308,0.08990624581321233,0.02082738580254165,0.158985105823883,0.05536681580787698,0.17981249162642465,0.9768217512010224,0.859777229970557,-1570.3310106958174,-1543.8829580885615,12,59,1394,0.048464163822525594,0.07541177418077752
Q0.90_pb0.00_e,0.062452715304833824,0.07960638208497217,7.188429734385775e-05,0.1591408798726005,0.01597878385486952,0.15921276416994434,0.9765268201979543,0.8758414689990692,-1135.187129759836,-1108.73907715258,0,66,1399,0.04505119453924915,0.2136173684985854
Q0.90_pb1.00_e,1.0130780492340605,0.39078619674559806,0.0033973602833411273,0.7781750332078547,0.08087512757579247,0.7815723934911961,0.6192293147366781,0.3905081621271985,3097.6921576133545,3124.1402102206102,0,643,822,0.43890784982935155,0.009028828215134873
Q0.90_pb0.90_e,0.12583266831594744,0.13790357576548584,0.0062374341113212,0.2695697174196504,0.03257066244215412,0.2758071515309717,0.9527051332526644,0.7849179307188928,-55.40094507226672,-28.952892465010883,4,125,1336,0.08805460750853242,0.042904329440535044
