,Mean Squared Error,Mean Pinball Loss,Pinball Loss Penalize Under,Pinball Loss Penalize Over,Pinball Loss At Alpha,Mean Absolute Error,R2 Square,D2 Pinball,AIC,BIC,Under Allocations,Over Allocations,Correct Allocations,Miss Rate,Cross Validation
Q0.10_pb0.00_g,1.5838751473542834,0.44410984562702027,0.8835684022799275,0.004651288974112944,0.09254300030469441,0.8882196912540405,0.030521032254586244,0.11959007813512734,2368.6784160558227,2394.6693339413323,479,0,858,0.3582647718773373,0.0057760282239844585
Q0.10_pb1.00_g,0.03481733567203213,0.059491536800134706,0.11896460334947924,1.84702507901604e-05,0.011913083560659071,0.11898307360026941,0.9786885508599896,0.8820630981691501,1109558.8641507193,1109584.8550686047,71,0,1266,0.053103964098728494,0.16550281203016723
Q0.10_pb0.10_g,0.07006565481415956,0.10140429273292569,0.20027032507074344,0.00253826039510794,0.02231146686267149,0.20280858546585137,0.9571132997338181,0.7989746313421384,-661.877385419401,-635.8864675338913,113,3,1221,0.08676140613313388,0.03572990497040055
Q0.25_pb0.00_g,0.1550582997808308,0.12792373416637964,0.23883793826966773,0.01700953006309149,0.07246663211473557,0.2558474683327593,0.9050898925568824,0.7464020986900797,-958.8806049062277,-932.889687020718,141,9,1187,0.11219147344801796,0.02412846560920054
Q0.25_pb1.00_g,0.022731528799626723,0.04283719323965567,0.08221329487943635,0.0034610915998749886,0.02314914241976533,0.08567438647931135,0.9860861892348338,0.9150789149927796,14491.957615234918,14517.948533120429,48,3,1286,0.0381451009723261,0.12330125978921856
Q0.25_pb0.25_g,0.036717124077366575,0.06756068800534362,0.11959497172047584,0.015526404290211389,0.041543546147777506,0.13512137601068724,0.9775257035830341,0.8660666935587913,-2571.54724356236,-2545.5563256768505,65,9,1263,0.055347793567688854,0.05997009294870257
Q0.50_pb0.00_g,0.02093896663838423,0.05001451249511551,0.05197275530039616,0.04805626968983487,0.05001451249511551,0.10002902499023102,0.9871834040731395,0.9008504912207799,-3327.949854799086,-3301.9589369135765,23,27,1287,0.037397157816005985,0.07000705613240402
Q0.50_pb1.00_g,0.019828133943237746,0.04584433792133978,0.046913251090260094,0.044775424752419475,0.04584433792133978,0.09168867584267956,0.9878633370441363,0.9091175069305468,-3674.2350567732974,-3648.244138887788,20,30,1287,0.037397157816005985,0.07729859319353304
Q0.50_pb0.50_g,0.021421205512290663,0.05059602628718828,0.05296565369160822,0.04822639888276834,0.05059602628718828,0.10119205257437656,0.9868882290105959,0.899697689684666,-3344.6015118581954,-3318.610593972686,25,33,1279,0.04338070306656694,0.07473529514533203
Q0.75_pb0.00_g,0.019805736358769335,0.038979316895241006,0.002168599708734218,0.0757900340817478,0.02057395830198761,0.07795863379048201,0.9878770464498976,0.9227268260769284,-3614.7237300670204,-3588.732812181511,1,43,1293,0.032909498878085267,0.11308096027904285
Q0.75_pb1.00_g,0.11777246678765972,0.12234902197713755,0.01882757761623976,0.22587046633803531,0.07058829979668865,0.2446980439542751,0.9279122917479606,0.7574534905276561,-667.3526608415705,-641.3617429560608,7,97,1233,0.07778608825729244,0.02760384197335076
Q0.75_pb0.75_g,0.04382935372513548,0.07676254256067201,0.01925621917132337,0.13426886595002063,0.048009380865997694,0.15352508512134402,0.9731723572546919,0.8478248010859266,-1836.8552275596771,-1810.8643096741673,11,70,1256,0.0605833956619297,0.062217545592013694
Q0.90_pb0.00_g,0.04530090281215282,0.06821318347206877,0.00011920060860289418,0.13630716633553464,0.013737997181296067,0.13642636694413754,0.9722716322876694,0.8647731769017453,-1482.8253317736248,-1456.834413888115,0,72,1265,0.05385190725504862,0.1638652413740511
Q0.90_pb1.00_g,0.44622974522686687,0.25136226595807043,0.0026193819844972065,0.5001051499316437,0.052367958779211854,0.5027245319161409,0.7268658748118642,0.5016957288585322,1670.514254723913,1696.5051726094227,1,428,908,0.32086761406133135,0.006533657882638512
Q0.90_pb0.90_g,0.08794762356128343,0.11691830963311524,0.004521421549958826,0.22931519771627162,0.027000799166590105,0.23383661926623048,0.9461678709661681,0.7682194149437672,-488.25890755191466,-462.26798966640496,2,136,1199,0.10321615557217652,0.03550136674925682
