Span,Span_Len,Span_Max,Span_Min,Span_Std,Link,Link_Len,Link_Max,Link_Min,Link_Std,SNR,MF
54.6,30.0,80.0,41.0,11.482160075525858,8.666666666666666,3.0,14.0,3.0,4.4969125210773475,12.48,4
71.88888888888889,9.0,80.0,40.0,15.26393312095502,4.0,2.0,5.0,3.0,1.0,14.72,8
56.8235294117647,34.0,80.0,41.0,13.14952602195517,9.0,4.0,12.0,5.0,3.082207001484488,11.85,4
54.55172413793103,29.0,80.0,41.0,11.833867840306107,9.0,2.0,11.0,7.0,2.0,13.24,8
71.84210526315789,19.0,80.0,45.0,13.689270319621004,1.5,2.0,2.0,1.0,0.5,12.59,4
70.82352941176471,17.0,80.0,70.0,2.478977353612409,6.5,2.0,8.0,5.0,1.5,13.28,8
74.2,30.0,80.0,45.0,11.628700127987935,10.5,4.0,21.0,1.0,7.22841614740048,10.53,4
68.83333333333333,6.0,80.0,49.0,9.564111156935715,9.5,2.0,11.0,8.0,1.5,16.05,16
74.3076923076923,13.0,80.0,30.0,13.852989765526681,20.333333333333332,3.0,35.0,12.0,10.402991022884823,13.31,8
65.1,20.0,80.0,35.0,10.034440691936945,10.333333333333334,3.0,15.0,5.0,4.109609335312651,12.35,4
65.625,16.0,80.0,45.0,13.453043335989072,18.333333333333332,3.0,35.0,9.0,11.8133634311129,13.12,8
70.0,17.0,80.0,35.0,10.71008320943125,16.0,2.0,16.0,16.0,0.0,13.04,8
57.4,10.0,70.0,45.0,10.384603988597735,2.5,2.0,3.0,2.0,0.5,15.07,8
67.26086956521739,23.0,80.0,35.0,10.313424730836937,6.0,3.0,10.0,1.0,3.7416573867739413,12.17,4
71.66666666666667,21.0,80.0,55.0,5.634361698190112,11.5,2.0,14.0,9.0,2.5,12.84,8
67.9,10.0,80.0,49.0,8.41961994391671,3.0,3.0,5.0,1.0,1.632993161855452,14.42,8
75.83333333333333,6.0,80.0,55.0,9.316949906249123,16.0,1.0,16.0,16.0,0.0,15.73,16
75.6875,16.0,80.0,50.0,8.815602290825057,25.75,4.0,41.0,16.0,9.67923034130297,12.62,4
69.125,16.0,80.0,45.0,14.084011324903143,19.333333333333332,3.0,33.0,7.0,10.656244908763854,13.24,8
74.2,30.0,80.0,45.0,11.628700127987935,15.75,4.0,33.0,0.0,12.43734296383275,10.31,4
69.36363636363636,22.0,80.0,35.0,12.352936546518567,10.5,4.0,14.0,7.0,2.5,11.73,4
49.608695652173914,23.0,50.0,41.0,1.8353800799309072,15.0,1.0,15.0,15.0,0.0,14.25,8
64.53125,32.0,80.0,35.0,12.237198349193331,11.0,6.0,23.0,1.0,7.023769168568493,11.15,4
71.4,10.0,80.0,47.0,10.983624174196786,15.666666666666666,3.0,22.0,11.0,4.642796092394707,14.04,8
56.0,9.0,70.0,45.0,10.011104945120804,10.5,2.0,15.0,6.0,4.5,15.81,16
67.8125,16.0,80.0,35.0,11.035277239380985,5.333333333333333,3.0,10.0,0.0,4.109609335312651,13.63,8
77.0,8.0,80.0,60.0,6.557438524302,25.0,2.0,33.0,17.0,8.0,14.9,8
59.5,6.0,60.0,57.0,1.118033988749895,11.0,1.0,11.0,11.0,0.0,16.46,16
63.583333333333336,12.0,80.0,45.0,15.168269146111856,17.0,3.0,20.0,14.0,2.449489742783178,14.16,8
75.13333333333334,15.0,80.0,56.0,7.126164622166836,20.333333333333332,3.0,35.0,10.0,10.656244908763854,12.84,8
66.26666666666667,15.0,70.0,35.0,9.855398971573342,8.5,2.0,11.0,6.0,2.5,13.64,8
64.16666666666667,12.0,80.0,45.0,15.920810978785667,10.5,2.0,14.0,7.0,3.5,14.28,8
55.54838709677419,31.0,80.0,41.0,12.323171747349468,11.0,3.0,20.0,4.0,6.683312551921141,12.19,4
78.07692307692308,13.0,80.0,55.0,6.661733875264914,6.0,2.0,11.0,1.0,5.0,13.06,8
66.26666666666667,15.0,70.0,35.0,9.855398971573342,3.5,2.0,5.0,2.0,1.5,13.78,8
71.16666666666667,24.0,80.0,45.0,8.624899355290408,17.0,4.0,27.0,4.0,8.455767262643882,12.03,4
65.6923076923077,26.0,80.0,35.0,13.297684097874484,16.6,5.0,20.0,14.0,2.4979991993593593,11.77,4
61.833333333333336,12.0,80.0,45.0,15.420945352200544,14.0,3.0,16.0,12.0,1.632993161855452,14.35,8
77.0,13.0,80.0,45.0,9.298469683853277,19.0,2.0,33.0,5.0,14.0,13.34,8
71.66666666666667,21.0,80.0,55.0,5.634361698190112,9.5,2.0,12.0,7.0,2.5,12.21,4
73.23076923076923,13.0,80.0,45.0,10.692584390443013,16.0,3.0,23.0,10.0,5.354126134736337,13.43,8
68.0,14.0,70.0,56.0,4.898979485566356,1.5,2.0,3.0,0.0,1.5,13.62,8
70.0,32.0,80.0,35.0,7.806247497997997,10.0,3.0,14.0,5.0,3.7416573867739413,10.92,4
72.94736842105263,19.0,80.0,49.0,8.68437001448444,17.75,4.0,35.0,8.0,10.473180032826706,12.26,4
70.875,8.0,80.0,51.0,10.902264672993406,6.0,2.0,8.0,4.0,2.0,14.73,8
65.54545454545455,11.0,80.0,45.0,15.203849012450382,20.5,2.0,35.0,6.0,14.5,14.44,8
70.875,8.0,80.0,51.0,10.902264672993406,6.5,2.0,10.0,3.0,3.5,14.73,8
70.0,15.0,70.0,70.0,0.0,9.0,1.0,9.0,9.0,0.0,14.04,8
75.0909090909091,11.0,80.0,30.0,14.304827827469778,22.0,2.0,35.0,9.0,13.0,13.69,8
74.0,7.0,80.0,47.0,11.451762185046332,23.5,2.0,32.0,15.0,8.5,14.77,8
74.0,7.0,80.0,47.0,11.451762185046332,16.0,2.0,19.0,13.0,3.0,14.98,8
54.0,28.0,80.0,41.0,10.747092630102339,4.5,2.0,8.0,1.0,3.5,13.09,8
63.93333333333333,15.0,80.0,45.0,13.901878370285873,16.5,4.0,28.0,12.0,6.689544080129826,13.65,8
66.31818181818181,22.0,80.0,35.0,10.7127212553214,10.333333333333334,3.0,15.0,5.0,4.109609335312651,11.98,4
61.88,25.0,80.0,35.0,11.082671158163992,5.25,4.0,7.0,3.0,1.7853571071357126,11.7,4
64.86666666666666,15.0,80.0,45.0,15.187129053540334,14.75,4.0,15.0,14.0,0.4330127018922193,13.2,8
51.96153846153846,26.0,80.0,41.0,8.276383310967368,11.0,2.0,14.0,8.0,3.0,13.43,8
49.0,10.0,50.0,45.0,2.0,7.5,2.0,15.0,0.0,7.5,15.77,16
68.33333333333333,21.0,80.0,45.0,13.035969773534607,18.25,4.0,35.0,11.0,9.883698700385398,12.4,4
66.81818181818181,11.0,70.0,35.0,10.061792555081206,8.0,1.0,8.0,8.0,0.0,14.86,8
54.6,15.0,70.0,45.0,9.42903317772648,1.6666666666666667,3.0,3.0,1.0,0.9428090415820634,14.67,8
70.875,8.0,80.0,51.0,10.902264672993406,5.5,2.0,7.0,4.0,1.5,15.28,16
72.1875,16.0,80.0,49.0,8.70501830842417,11.75,4.0,33.0,2.0,12.457427503300993,12.43,4
77.0,18.0,80.0,51.0,8.51143022320247,8.0,3.0,11.0,5.0,2.449489742783178,12.32,4
66.26666666666667,15.0,70.0,35.0,9.855398971573342,5.5,2.0,7.0,4.0,1.5,13.53,8
80.0,7.0,80.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,14.87,8
77.0,5.0,80.0,65.0,6.0,20.0,1.0,20.0,20.0,0.0,16.21,16
73.73333333333333,15.0,80.0,40.0,12.850248592493802,9.333333333333334,3.0,14.0,6.0,3.39934634239519,12.81,8
73.73333333333333,15.0,80.0,40.0,12.850248592493802,7.333333333333333,3.0,11.0,3.0,3.2998316455372216,12.68,4
73.33333333333333,21.0,80.0,49.0,8.396900410743033,18.0,5.0,42.0,3.0,13.6088206689632,11.66,4
56.8235294117647,34.0,80.0,41.0,13.14952602195517,14.25,4.0,17.0,9.0,3.112474899497183,11.99,4
63.583333333333336,12.0,80.0,45.0,15.168269146111856,12.333333333333334,3.0,20.0,7.0,5.557777333511022,14.48,8
69.63157894736842,19.0,80.0,51.0,7.781290153585948,5.666666666666667,3.0,11.0,2.0,3.858612300930075,12.54,4
71.84210526315789,19.0,80.0,45.0,13.689270319621004,5.0,2.0,7.0,3.0,2.0,12.45,4
64.86666666666666,15.0,80.0,45.0,15.187129053540334,14.75,4.0,18.0,13.0,1.920286436967152,13.2,8
65.1,20.0,80.0,35.0,10.034440691936945,8.0,3.0,14.0,5.0,4.242640687119285,13.02,8
72.07407407407408,27.0,80.0,35.0,10.309743417168361,18.4,5.0,35.0,10.0,8.63944442658207,11.21,4
75.0909090909091,11.0,80.0,30.0,14.304827827469778,27.0,2.0,46.0,8.0,19.0,13.72,8
66.73333333333333,15.0,80.0,45.0,15.255454397981362,15.0,3.0,22.0,6.0,6.683312551921141,13.48,8
70.82352941176471,17.0,80.0,70.0,2.478977353612409,4.5,2.0,5.0,4.0,0.5,13.43,8
77.0,13.0,80.0,45.0,9.298469683853277,20.0,2.0,33.0,7.0,13.0,13.27,8
77.0,16.0,80.0,45.0,8.580501150865256,11.666666666666666,3.0,20.0,4.0,6.548960901462833,12.58,4
74.2,10.0,80.0,56.0,7.45385806143369,23.5,2.0,35.0,12.0,11.5,13.92,8
65.625,16.0,80.0,45.0,13.453043335989072,18.0,3.0,37.0,7.0,13.490737563232042,13.31,8
75.0,7.0,80.0,45.0,12.24744871391589,21.0,1.0,21.0,21.0,0.0,15.52,16
74.2,10.0,80.0,56.0,7.45385806143369,24.5,2.0,35.0,14.0,10.5,14.07,8
51.96153846153846,26.0,80.0,41.0,8.276383310967368,8.0,2.0,11.0,5.0,3.0,13.51,8
70.875,8.0,80.0,51.0,10.902264672993406,5.5,2.0,10.0,1.0,4.5,15.1,8
65.33333333333333,3.0,70.0,56.0,6.599663291074444,7.0,1.0,7.0,7.0,0.0,17.66,16
67.26086956521739,23.0,80.0,35.0,10.313424730836937,4.666666666666667,3.0,8.0,1.0,2.8674417556808756,12.14,4
59.111111111111114,9.0,80.0,45.0,14.85817728049997,14.0,2.0,15.0,13.0,1.0,15.47,16
55.54838709677419,31.0,80.0,41.0,12.323171747349468,10.666666666666666,3.0,12.0,10.0,0.9428090415820634,12.5,4
74.375,24.0,80.0,35.0,9.499177595981665,3.5,2.0,5.0,2.0,1.5,11.69,4
77.0,8.0,80.0,60.0,6.557438524302,24.0,2.0,33.0,15.0,9.0,14.29,8
